ProjectID,EmployeeID
172,3714
172,4789
251,3839
251,3469
251,3470
296,4736
296,3836
296,6335
297,4731
297,4059
297,3544
299,4497
299,3819
299,3544
299,4492
299,4046
299,3545
299,3829
299,4255
299,4075
299,3822
299,4074
301,4731
301,4199
301,3544
302,4798
302,4588
302,4129
302,4148
302,3788
302,4596
302,3829
302,4096
302,3815
302,4075
302,6908
303,4059
303,3545
303,4199
303,4731
303,3544
303,6908
304,3544
304,4731
304,3818
